stop_id,stop_name,latitude,longitude
70061,Alewife,42.395428,-71.142483
70126,Allston Street,42.348649,-71.137881
70083,Andrew,42.330154,-71.057655
70047,Airport,42.374262,-71.030395
70043,Aquarium,42.359784,-71.051652
70156,Arlington,42.351902,-71.070893
70093,Ashmont,42.284239,-71.063601
70278,Assembly,42.392811,-71.077257
70136,Babcock Street,42.351776,-71.12153
70014,Back Bay,42.34735,-71.075727
70257,Back of the Hill,42.329369,-71.111046
70176,Beaconsfield,42.335809,-71.140841
70229,Washington Square,42.339471,-71.135139
70148,Blandford Street,42.349165,-71.099821
70055,Beachmont,42.397542,-70.992319
70225,Brandon Hall,42.340053,-71.128869
70038,Bowdoin,42.361365,-71.062037
70158,Boylston,42.352531,-71.064682
70081,Broadway,42.342622,-71.056967
70134,Packards Corner,42.351891,-71.125067
70178,Brookline Hills,42.331238,-71.127012
70249,Brigham Circle,42.334331,-71.104487
70105,Braintree,42.208371,-71.001423
70144,Boston University Central,42.350013,-71.106902
70146,Boston University East,42.349659,-71.103989
70265,Butler,42.272343,-71.062585
70142,Boston University West,42.350765,-71.113133
70180,Brookline Village,42.332838,-71.116234
70273,Capen Street,42.267712,-71.087751
70028,Community College,42.373622,-71.069533
70263,Cedar Grove,42.27968,-71.060434
70269,Central Avenue,42.270027,-71.073337
70172,Chestnut Hill,42.326633,-71.165299
70112,Chestnut Hill Avenue,42.33873,-71.152526
70073,Charles/MGH,42.361166,-71.070628
70018,Chinatown,42.352547,-71.062752
70114,Chiswick Road,42.340808,-71.150633
70237,Cleveland Circle,42.336216,-71.149201
70069,Central,42.365304,-71.103621
70154,Copley,42.349871,-71.078049
70219,Coolidge Corner,42.342274,-71.120915
70063,Davis,42.39674,-71.121815
70233,Dean Road,42.337807,-71.141753
70020,Downtown Crossing,42.355518,-71.060225
70166,Eliot,42.318957,-71.216776
70235,Englewood Avenue,42.336964,-71.145867
70227,Fairbanks Street,42.33969,-71.131228
70251,Fenwood Road,42.33374,-71.105721
70186,Fenway,42.345362,-71.104162
70089,Fields Corner,42.300093,-71.061667
70001,Forest Hills,42.300523,-71.113686
70039,Government Center,42.359705,-71.059215
70128,Griggs Street,42.348747,-71.1345
70002,Green Street,42.310525,-71.107414
70024,Haymarket,42.363021,-71.05829
70067,Harvard,42.373362,-71.118956
70130,Harvard Avenue,42.350263,-71.131298
70260,Heath Street,42.328316,-71.110252
70213,Hawes Street,42.344758,-71.111761
70152,Hynes Convention Center,42.347888,-71.087903
70006,Jackson Square,42.323132,-71.099592
70085,JFK/UMass,42.320685,-71.052391
70150,Kenmore,42.348949,-71.095169
70071,Kendall/MIT,42.362355,-71.085605
70215,Kent Street,42.344117,-71.114097
70106,Boston College,42.340149,-71.167029
70209,Lechmere,42.370952,-71.077007
70247,Longwood Medical Area,42.33608,-71.099883
70182,Longwood,42.341123,-71.110393
70012,Massachusetts Avenue,42.341512,-71.083423
70275,Mattapan,42.267528,-71.09205
70245,Museum of Fine Arts,42.337875,-71.09524
70267,Milton,42.270305,-71.067674
70253,Mission Park,42.333279,-71.109276
70034,Malden Center,42.426632,-71.07411
70045,Maverick,42.369119,-71.03953
70168,Newton Highlands,42.321687,-71.206063
70170,Newton Centre,42.329338,-71.192388
70026,North Station,42.365577,-71.06129
70097,North Quincy,42.275275,-71.029583
70243,Northeastern University,42.339897,-71.09021
70036,Oak Grove,42.43668,-71.071097
70051,Orient Heights,42.386867,-71.004736
70075,Park Street,42.356395,-71.062424
70138,Pleasant Street,42.351445,-71.118753
70065,Porter,42.3884,-71.119149
70239,Prudential,42.34557,-71.081696
70103,Quincy Adams,42.233391,-71.007153
70101,Quincy Center,42.251809,-71.005409
70057,Revere Beach,42.407843,-70.992533
70008,Roxbury Crossing,42.331397,-71.095451
70160,Riverside,42.337283,-71.252385
70174,Reservoir,42.334916,-71.149064
70010,Ruggles,42.336377,-71.088961
70255,Riverway,42.331391,-71.111925
70004,Stony Brook,42.317062,-71.104248
70053,Suffolk Downs,42.390501,-70.997123
70087,Savin Hill,42.31129,-71.053331
70211,Saint Marys Street,42.345884,-71.107697
70091,Shawmut,42.293126,-71.065738
70110,South Street,42.339371,-71.157057
70207,Science Park/West End,42.366664,-71.067666
70079,South Station,42.352271,-71.055242
70022,State,42.358978,-71.057598
70116,Sutherland Road,42.341589,-71.146089
70140,Saint Paul Street B Line,42.35111,-71.116014
70217,Saint Paul Street C Line,42.34334,-71.116927
70030,Sullivan Square,42.383975,-71.076994
70223,Summit Avenue,42.34112,-71.125652
70241,Symphony,42.342687,-71.085056
70231,Tappan Street,42.338498,-71.138731
70016,Tufts Medical Center,42.349662,-71.063917
70271,Valley Road,42.268322,-71.081568
70164,Waban,42.325899,-71.230805
70120,Washington Street,42.344329,-71.142385
70032,Wellington,42.40237,-71.077082
70049,Wood Island,42.37964,-71.022865
70099,Wollaston,42.266514,-71.020337
70059,Wonderland,42.413513,-70.991737
70162,Woodland,42.333339,-71.244333
70124,Warren Street,42.348285,-71.140436
